NAICS Code,Industry,Emission Factor (Without Margins)_USD,Emission Factor (Without Margins)_CO2e,Material Type,Weight (kg),Emission Factor per kg (CO2e),Predicted Production Emissions,Logistics Emissions,Total Emissions
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
999999,High-Tech Electronics Manufacturing,1.0,10.0,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
511210,Software Publishers,3.02e-09,0.036,Electronics,1.0,10.0,10.0,0.0838563504755357,10.083856350475536
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
111110,Soybean Farming,5.13e-09,0.488,Food,1.0,1.5,1.5,0.0838563504755357,1.5838563504755356
